iter	Passed	Remaining
673	12996	6285
674	13012	6265
675	13034	6247
676	13054	6228
677	13073	6208
678	13090	6188
679	13108	6168
680	13127	6149
681	13151	6132
682	13180	6117
683	13210	6103
684	13231	6084
685	13249	6064
686	13274	6047
687	13295	6029
688	13312	6009
689	13327	5987
690	13339	5965
691	13355	5944
692	13373	5924
693	13389	5903
694	13407	5883
695	13425	5863
696	13439	5842
697	13455	5821
698	13474	5802
699	13492	5782
700	13510	5762
701	13527	5742
702	13545	5722
703	13563	5702
704	13582	5683
705	13599	5663
706	13620	5644
707	13637	5624
708	13655	5604
709	13673	5584
710	13691	5565
711	13709	5545
712	13727	5525
713	13746	5506
714	13763	5486
715	13783	5467
716	13804	5448
717	13821	5428
718	13838	5408
719	13855	5388
720	13874	5368
721	13891	5348
722	13913	5330
723	13943	5315
724	13964	5297
725	13982	5277
726	14000	5257
727	14017	5237
728	14034	5217
729	14052	5197
730	14069	5177
731	14090	5158
732	14108	5139
733	14129	5120
734	14150	5101
735	14168	5082
736	14186	5062
737	14204	5042
738	14222	5023
739	14252	5007
740	14273	4988
741	14288	4968
742	14304	4947
743	14319	4927
744	14333	4906
745	14347	4885
746	14365	4865
747	14382	4845
748	14400	4825
749	14417	4805
750	14434	4785
751	14451	4765
752	14468	4746
753	14484	4725
754	14506	4707
755	14526	4688
756	14543	4668
757	14560	4648
758	14577	4628
759	14596	4609
760	14613	4589
761	14630	4569
762	14649	4550
763	14667	4530
764	14692	4513
765	14718	4496
766	14735	4476
767	14755	4457
768	14777	4438
769	14797	4420
770	14819	4401
771	14836	4381
772	14850	4361
773	14868	4341
774	14886	4322
775	14910	4304
776	14927	4284
777	14945	4264
778	14963	4245
779	14982	4225
780	14999	4206
781	15018	4186
782	15034	4166
783	15052	4147
784	15069	4127
785	15088	4107
786	15106	4088
787	15126	4069
788	15144	4050
789	15164	4031
790	15184	4012
791	15201	3992
792	15219	3972
793	15240	3954
794	15266	3936
795	15328	3928
796	15385	3918
797	15413	3901
798	15433	3882
799	15450	3862
800	15468	3842
801	15484	3822
802	15499	3802
803	15516	3782
804	15531	3762
805	15549	3742
806	15566	3722
807	15584	3703
808	15601	3683
809	15618	3663
810	15635	3643
811	15653	3624
812	15670	3604
813	15688	3584
814	15707	3565
815	15724	3545
816	15741	3526
817	15763	3507
818	15782	3487
819	15800	3468
820	15818	3448
821	15837	3429
822	15851	3409
823	15867	3389
824	15883	3369
825	15901	3349
826	15918	3329
827	15936	3310
828	15953	3290
829	15971	3271
830	15991	3252
831	16010	3232
832	16028	3213
833	16045	3193
834	16064	3174
835	16084	3155
836	16102	3135
837	16120	3116
838	16138	3096
839	16155	3077
840	16176	3058
841	16197	3039
842	16219	3020
843	16243	3002
844	16262	2983
845	16281	2963
846	16297	2943
847	16313	2924
848	16327	2904
849	16344	2884
850	16362	2864
851	16381	2845
852	16398	2826
853	16418	2806
854	16437	2787
855	16454	2768
856	16473	2748
857	16490	2729
858	16508	2709
859	16527	2690
860	16544	2670
861	16561	2651
862	16581	2632
863	16600	2613
864	16618	2593
865	16635	2574
866	16654	2554
867	16691	2538
868	16733	2522
869	16756	2503
870	16777	2484
871	16798	2465
872	16816	2446
873	16835	2427
874	16853	2407
875	16869	2387
876	16888	2368
877	16907	2349
878	16925	2329
879	16942	2310
880	16960	2290
881	16977	2271
882	17000	2252
883	17018	2233
884	17036	2213
885	17054	2194
886	17075	2175
887	17095	2156
888	17117	2137
889	17139	2118
890	17160	2099
891	17179	2080
892	17197	2060
893	17216	2041
894	17231	2021
895	17244	2001
896	17260	1982
897	17275	1962
898	17290	1942
899	17306	1922
900	17323	1903
901	17342	1884
902	17359	1864
903	17377	1845
904	17398	1826
905	17421	1807
906	17443	1788
907	17466	1769
908	17487	1750
909	17510	1731
910	17532	1712
911	17550	1693
912	17578	1675
913	17601	1656
914	17624	1637
915	17646	1618
916	17664	1598
917	17685	1579
918	17706	1560
919	17722	1541
920	17740	1521
921	17757	1502
922	17772	1482
923	17791	1463
924	17809	1444
925	17826	1424
926	17843	1405
927	17861	1385
928	17880	1366
929	17899	1347
930	17915	1327
931	17930	1308
932	17947	1288
933	17966	1269
934	17986	1250
935	18006	1231
936	18026	1212
937	18045	1192
938	18062	1173
939	18081	1154
940	18099	1134
941	18115	1115
942	18131	1095
943	18148	1076
944	18165	1057
945	18182	1037
946	18200	1018
947	18215	999
948	18228	979
949	18243	960
950	18258	940
951	18272	921
952	18294	902
953	18314	883
954	18330	863
955	18348	844
956	18367	825
957	18384	805
958	18402	786
959	18422	767
960	18438	748
961	18462	729
962	18491	710
963	18516	691
964	18537	672
965	18553	653
966	18569	633
967	18587	614
968	18605	595
969	18624	576
970	18642	556
971	18661	537
972	18679	518
973	18701	499
974	18720	480
975	18737	460
976	18754	441
977	18770	422
978	18788	403
979	18804	383
980	18822	364
981	18839	345
982	18858	326
983	18875	306
984	18894	287
985	18911	268
986	18933	249
987	18952	230
988	18969	210
989	18985	191
990	19003	172
991	19020	153
992	19039	134
993	19056	115
994	19074	95
995	19091	76
996	19109	57
997	19128	38
998	19155	19
999	19174	0
